Training Data Percentage,Train Time,Test Time
0.1,0.0148351192474,0.059033870697
0.15,0.0239109992981,0.0742280483246
0.2,0.0308840274811,0.0882651805878
0.25,0.0440020561218,0.0942580699921
0.3,0.0536320209503,0.100496053696
0.35,0.0713770389557,0.103125095367
0.4,0.0790898799896,0.10060095787
0.45,0.0913829803467,0.105517148972
0.5,0.104645013809,0.0957188606262
0.55,0.127434968948,0.0958070755005
0.6,0.136829137802,0.0887999534607
0.65,0.151897907257,0.0832381248474
0.7,0.210246086121,0.0712649822235
0.75,0.181457042694,0.061980009079
0.8,0.201199054718,0.050281047821
0.85,0.211959123611,0.0388469696045
0.9,0.231586933136,0.0272269248962
0.95,0.251024961472,0.016175031662
